Each numbered origami of degree  5  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 89  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 1 1 1 0] ), abelian= False
O_ 90  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [1 1 1 1 0] ), abelian= False
O_ 91  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 0 0 1 1] ), abelian= False
O_ 92  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [1 0 0 1 1] ), abelian= False
O_ 93  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [0 1 0 1 1] ), abelian= False
O_ 94  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [1 1 0 1 1] ), abelian= False
O_ 95  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [1 0 1 1 1] ), abelian= False
O_ 96  = ( [[0, 1, 2, 3, 4]] [[0, 1, 2, 4, 3]] [1 1 1 1 1] ), abelian= True
O_ 97  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [0 0 0 0 0] ), abelian= True
O_ 98  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 0 0 0 0] ), abelian= False
O_ 99  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [0 1 0 0 0] ), abelian= False
O_ 100  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 0 0 0] ), abelian= False
O_ 101  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [0 0 1 0 0] ), abelian= False
O_ 102  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 0 1 0 0] ), abelian= False
O_ 103  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [0 1 1 0 0] ), abelian= False
O_ 104  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 1 0 0] ), abelian= False
O_ 105  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 0 0 1 0] ), abelian= False
O_ 106  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [0 1 0 1 0] ), abelian= False
O_ 107  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 0 1 0] ), abelian= False
O_ 108  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 0 1 1 0] ), abelian= False
O_ 109  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [0 1 1 1 0] ), abelian= False
O_ 110  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 1 1 0] ), abelian= False
O_ 111  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 0 0 0 1] ), abelian= False
O_ 112  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 0 0 1] ), abelian= False
O_ 113  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 0 1 0 1] ), abelian= False
O_ 114  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 1 0 1] ), abelian= False
O_ 115  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 0 1 1] ), abelian= False
O_ 116  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3, 4, 2]] [1 1 1 1 1] ), abelian= True
O_ 117  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [0 0 0 0 0] ), abelian= True
O_ 118  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 0 0 0 0] ), abelian= False
O_ 119  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 1 0 0 0] ), abelian= False
O_ 120  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [0 0 1 0 0] ), abelian= False
O_ 121  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 0 1 0 0] ), abelian= False
O_ 122  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 1 1 0 0] ), abelian= False
O_ 123  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [0 0 0 1 0] ), abelian= False
O_ 124  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 0 0 1 0] ), abelian= False
O_ 125  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 1 0 1 0] ), abelian= True
O_ 126  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [0 0 1 1 0] ), abelian= False
O_ 127  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 0 1 1 0] ), abelian= False
O_ 128  = ( [[0, 1, 2, 3, 4]] [[0, 1, 3], [2, 4]] [1 1 1 1 0] ), abelian= False
O_ 129  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [0 0 0 0 0] ), abelian= True
O_ 130  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [1 0 0 0 0] ), abelian= False
O_ 131  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [1 1 0 0 0] ), abelian= False
O_ 132  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [1 0 1 0 0] ), abelian= False
O_ 133  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [1 1 1 0 0] ), abelian= False
O_ 134  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [1 1 0 1 0] ), abelian= False
O_ 135  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [1 1 1 1 0] ), abelian= False
O_ 136  = ( [[0, 1, 2, 3, 4]] [[0, 2, 4, 1, 3]] [1 1 1 1 1] ), abelian= True
O_ 137  = ( [[0], [1, 2, 3, 4]] [[0], [1], [2], [3], [4]] [0 0 0 0 0] ), abelian= True
